R,G,B,DMC,Floss
121,96,71,Drab Brown Dk,610
231,214,193,Yellow Beige Lt,3047
216,188,154,Yellow Beige Md,3046
188,150,106,Yellow Beige Dk,3045
167,124,73,Yellow Beige V Dk,167
252,252,238,Off White,746
245,236,203,Old Gold Vy Lt,677
198,159,123,Hazelnut Brown Lt,422
183,139,97,Hazelnut Brown,3828
160,112,66,Hazelnut Brown Dk,420
131,94,57,Hazelnut Brown V Dk,869
228,180,104,Topaz,728
206,145,36,Topaz Medium,783
174,119,32,Topaz Dark,782
162,109,32,Topaz Very Dark,781
148,99,26,Topaz Ultra Vy Dk,780
229,206,151,Old Gold Lt,676
208,165,62,Old Gold Medium,729
188,141,14,Old Gold Dark,680
169,130,4,Old Gold Vy Dark,3829
246,220,152,Straw Light,3822
243,206,117,Straw,3821
223,182,95,Straw Dark,3820
205,157,55,Straw Very Dark,3852
255,251,139,Lemon Light,445
253,237,84,Lemon,307
255,227,0,Canary Bright,973
255,214,0,Lemon Dark,444
253,249,205,Golden Yellow Vy Lt,3078
255,241,175,Topaz Vy Lt,727
253,215,85,Topaz Light,726
255,200,64,Topaz Med Lt,725
255,181,21,Canary Deep,972
255,233,173,Yellow Pale Light,745
255,231,147,Yellow Pale,744
254,211,118,Yellow Med,743
255,191,87,Tangerine Light,742
255,163,43,Tangerine Med,741
255,139,0,Tangerine,740
247,139,19,Pumpkin Light,970
246,127,0,Pumpkin,971
255,123,77,Burnt Orange,947
235,99,7,Burnt Orange Med,946
209,88,7,Burnt Orange Dark,900
255,222,213,Apricot Very Light,967
254,205,194,Apricot Light,3824
252,171,152,Apricot,3341
255,131,111,Apricot Med,3340
253,93,53,Burnt Orange Bright,608
250,50,3,Orange?Red Bright,606
255,226,207,Tawny Light,951
255,211,181,Mahogany Ult Vy Lt,3856
247,151,111,Orange Spice Light,722
242,120,66,Orange Spice Med,721
229,92,31,Orange Spice Dark,720
253,189,150,Pumpkin Pale,3825
226,115,35,Copper Light,922
198,98,24,Copper,921
172,84,20,Copper Med,920
166,69,16,Red Copper,919
130,52,10,Red Copper Dark,918
255,238,227,Tawny Vy Light,3770
251,213,187,Tawny,945
247,167,119,Mahogany Vy Lt,402
207,121,57,Mahogany Light,3776
179,95,43,Mahogany Med,301
143,67,15,Mahogany Dark,400
111,47,0,Mahogany Vy Dk,300
255,253,227,Yellow Ultra Pale,3823
250,211,150,Autumn Gold Lt,3855
242,175,104,Autumn Gold Med,3854
242,151,70,Autumn Gold Dk,3853
247,187,119,Golden Brown Pale,3827
220,156,86,Golden Brown Light,977
194,129,66,Golden Brown Med,976
173,114,57,Golden Brown,3826
145,79,18,Golden Brown Dk,975
254,231,218,Peach Very Light,948
247,203,191,Peach Light,754
244,187,169,Terra Cotta Ult Vy Lt,3771
238,170,155,Terra Cotta Vy Lt,758
217,137,120,Terra Cotta Light,3778
197,106,91,Terra Cotta Med,356
185,85,68,Terra Cotta,3830
152,68,54,Terra Cotta Dark,355
134,48,34,Terra Cotta Vy Dk,3777
248,202,200,Rosewood Ult Vy Lt,3779
186,139,124,Rosewood Light,3859
150,74,63,Rosewood Med,3858
104,37,26,Rosewood Dark,3857
243,225,215,Desert Sand Vy Lt,3774
238,211,196,Desert Sand Light,950
196,142,112,Desert Sand,3064
187,129,97,Desert Sand Med,407
182,117,82,Desert Sand Dark,3773
160,108,80,Desert Sand Vy Dk,3772
135,85,57,Desert Sand Ult Vy Dk,632
215,206,203,Shell Gray Light,453
192,179,174,Shell Gray Med,452
145,123,115,Shell Gray Dark,451
166,136,129,Cocoa Light,3861
125,93,87,Cocoa,3860
98,75,69,Cocoa Dark,779
255,251,239,Cream,712
248,228,200,Tan Ult Vy Lt,739
236,204,158,Tan Very Light,738
228,187,142,Tan Light,437
203,144,81,Tan,436
184,119,72,Brown Very Light,435
152,94,51,Brown Light,434
122,69,31,Brown Med,433
101,57,25,Coffee Brown Dk,801
73,42,19,Coffee Brown Vy Dk,898
54,31,14,Coffee Brown Ult Dk,938
30,17,8,Black Brown,3371
242,227,206,Beige Brown Ult Vy Lt,543
203,182,156,Mocha Beige Light,3864
164,131,92,Mocha Beige Med,3863
138,110,78,Mocha Beige Dark,3862
75,60,42,Mocha Brown Vy Dk,3031
255,255,255,Snow White,B5200
252,251,248,White,White
249,247,241,Winter White,3865
240,234,218,Ecru,Ecru
231,226,211,Beige Gray Light,822
221,216,203,Beige Gray Med,644
164,152,120,Beige Gray Dark,642
133,123,97,Beige Gray Vy Dk,640
98,93,80,Brown Gray Dark,3787
79,75,65,Brown Gray Vy Dk,3021
235,234,231,Brown Gray Vy Lt,3024
177,170,151,Brown Gray Light,3023
142,144,120,Brown Gray Med,3022
99,100,88,Ash Gray Vy Lt,535
227,216,204,Mocha Brown Vy Lt,3033
210,188,166,Mocha Brown Lt,3782
179,159,139,Mocha Brown Med,3032
127,106,85,Beige Gray Ult Dk,3790
107,87,67,Mocha Brown Dk,3781
250,246,240,Mocha Brn Ult Vy Lt,3866
209,186,161,Beige Brown Vy Lt,842
182,155,126,Beige Brown Lt,841
154,124,92,Beige Brown Med,840
103,85,65,Beige Brown Dk,839
89,73,55,Beige Brown Vy Dk,838
230,232,232,Beaver Gray Vy Lt,3072
188,180,172,Beaver Gray Lt,648
176,166,156,Beaver Gray Med,647
135,125,115,Beaver Gray Dk,646
110,101,92,Beaver Gray Vy Dk,645
72,72,72,Beaver Gray Ult Dk,844
236,236,236,Pearl Gray Vy Lt,762
211,211,214,Pearl Gray,415
171,171,171,Steel Gray Lt,318
140,140,140,Steel Gray Dk,414
209,209,209,Pewter Very Light,168
132,132,132,Pewter Light,169
108,108,108,Pewter Gray,317
86,86,86,Pewter Gray Dark,413
66,66,66,Pewter Gray Vy Dk,3799
0,0,0,Black,310
